    2458571.640172761865         2458571.640172761865      31292.301      39179.398        169.200        186.000     126297.602     119421.000        328.600        318.400
    2458571.640232395381         2458571.640232395381      47569.398      59059.801        208.500        227.400     190612.703     179493.797        403.200        390.000
    2458571.640302153770         2458571.640302153770      47378.000      59451.102        207.800        228.400     192038.406     179816.594        404.800        390.200
    2458571.640371911693         2458571.640371911693      47367.898      59536.801        207.900        228.500     191061.594     180350.094        403.600        390.800
    2458571.640441669617         2458571.640441669617      47390.199      59292.801        207.800        227.800     191609.797     180154.703        404.200        390.600
    2458571.640511428006         2458571.640511428006      47778.898      58998.801        208.500        227.300     190551.703     179177.000        402.800        389.500
    2458571.640581185929         2458571.640581185929      47546.199      59183.301        208.500        227.700     191356.500     180131.906        404.200        390.700
    2458571.640650943853         2458571.640650943853      47692.000      58572.898        208.100        226.500     190629.000     179606.297        403.200        390.100
    2458571.640720702242         2458571.640720702242      47537.398      58888.199        208.000        227.200     190101.797     178674.297        402.700        389.000
    2458571.640790460166         2458571.640790460166      47290.699      59072.602        207.700        227.600     190367.797     178431.297        402.900        388.700
    2458571.640860218089         2458571.640860218089      47748.199      59436.102        208.300        228.100     191699.297     179572.094        404.300        389.900
    2458571.640929976013         2458571.640929976013      47488.102      59197.602        207.400        227.900     190438.703     179444.797        402.900        389.800
    2458571.640999734402         2458571.640999734402      47806.500      59785.699        208.300        228.800     190554.797     179714.094        403.000        390.200
    2458571.641069492325         2458571.641069492325      47758.301      59637.699        208.400        228.500     192090.500     180990.906        404.800        391.600
    2458571.641139250249         2458571.641139250249      47703.699      59924.301        208.200        229.000     192116.406     181100.500        404.700        391.700
    2458571.641209008638         2458571.641209008638      48030.199      60053.699        208.700        229.500     192290.000     181055.406        405.000        391.500
    2458571.641278766561         2458571.641278766561      48120.898      60004.301        209.200        229.200     192925.297     180969.000        405.700        391.600
    2458571.641348524485         2458571.641348524485      48039.398      59817.000        209.200        229.000     191580.594     181481.094        404.200        392.200
    2458571.641418282408         2458571.641418282408      48339.398      59522.102        209.800        228.500     192558.406     180750.000        405.200        391.300
    2458571.641488040797         2458571.641488040797      47367.898      59639.199        207.800        228.400     191398.000     180781.703        404.100        391.500
    2458571.641557798721         2458571.641557798721      48360.102      59711.602        209.300        228.600     192006.203     181010.203        404.600        391.600
    2458571.641627556644         2458571.641627556644      47856.102      59843.102        208.700        228.900     191990.703     180214.297        404.800        390.600
    2458571.641697315034         2458571.641697315034      48346.898      60089.301        209.500        229.300     191810.000     181176.906        404.500        391.800
    2458571.641767072957         2458571.641767072957      47823.102      59902.500        208.800        229.300     191614.703     181417.703        404.200        391.900
    2458571.641836830880         2458571.641836830880      48068.801      59831.000        209.000        229.200     191582.906     180904.703        404.300        391.500
    2458571.641906588804         2458571.641906588804      48355.898      60037.699        209.800        229.300     192210.906     181126.906        404.700        391.800
    2458571.641976347193         2458571.641976347193      48028.602      60949.500        209.300        231.000     191933.594     181215.703        404.400        391.700
    2458571.642046105117         2458571.642046105117      48111.500      59915.898        209.400        229.000     190933.203     180744.203        403.500        391.300
    2458571.642115863040         2458571.642115863040      48133.699      59786.602        209.000        228.900     190279.406     179572.297        402.800        389.900
    2458571.642185621429         2458571.642185621429      48089.898      59902.398        209.000        229.300     189806.703     179942.203        402.400        390.300
    2458571.642255379353         2458571.642255379353      47506.801      59461.500        208.000        228.300     188647.000     178675.000        400.900        388.900
    2458571.642325137276         2458571.642325137276      47972.500      59164.102        208.700        227.700     189581.703     178644.000        402.100        388.800
    2458571.642394895200         2458571.642394895200      47435.602      58890.000        207.600        227.100     188765.594     177993.000        401.100        388.100
    2458571.642464653589         2458571.642464653589      48020.301      59339.898        208.800        227.900     190736.297     179832.203        403.000        390.300
    2458571.642534411512         2458571.642534411512      48205.801      59830.898        209.700        229.000     191363.406     180382.906        403.800        390.800
    2458571.642604169436         2458571.642604169436      48567.602      59690.102        210.400        228.800     191068.406     181070.594        403.600        391.600
    2458571.642673927825         2458571.642673927825      48058.898      60340.199        209.200        230.000     191623.000     179728.000        404.200        390.100
    2458571.642743685748         2458571.642743685748      48216.000      60205.699        209.400        229.500     190917.406     179952.906        403.500        390.300
    2458571.642813443672         2458571.642813443672      48580.801      60082.699        210.300        229.300     191884.500     180544.406        404.700        391.000
    2458571.642883201595         2458571.642883201595      48205.602      60489.699        209.300        230.300     192391.203     181945.406        405.200        392.600
    2458571.642952959985         2458571.642952959985      48894.801      60482.500        210.600        230.200     192021.203     180482.000        404.700        391.000
    2458571.643022717908         2458571.643022717908      48680.500      60824.801        210.200        230.800     191941.797     181354.797        404.600        392.000
    2458571.643092475832         2458571.643092475832      48614.898      60420.801        209.600        229.800     191665.797     180745.500        404.500        391.400
    2458571.643162234221         2458571.643162234221      48226.602      59914.801        209.200        228.900     192564.797     180429.000        405.000        391.000
    2458571.643231992144         2458571.643231992144      48066.301      60033.602        209.000        229.500     192429.594     181436.906        405.100        392.000
    2458571.643301750068         2458571.643301750068      48057.500      59837.398        208.700        228.900     190776.797     179879.406        403.200        390.100
    2458571.643371507991         2458571.643371507991      47723.500      59364.000        208.000        228.000     189998.906     178780.094        402.200        388.800
    2458571.643441266380         2458571.643441266380      48103.602      60104.398        208.700        229.600     191408.797     180226.594        403.900        390.800
    2458571.643511024304         2458571.643511024304      48243.301      60440.699        209.300        229.900     191024.797     180445.797        403.600        391.100
    2458571.643580782227         2458571.643580782227      48115.102      59975.102        209.000        229.400     191141.000     180603.297        403.600        391.100
